Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL4445088,48.0,7.32,684,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3ccc(=O)[nH]c3)ccc2n1
CHEMBL4445163,4.0,8.4,234,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(O[C@H]3CCN(C(=O)C4CC4)C3)c(C)cc2n1
CHEMBL4445184,7.0,8.15,155,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(-c3ccn(C)c(=O)c3)c(C)cc2n1
CHEMBL4445186,22.0,7.66,480,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@@H](C(=O)N2CCN(C)CC2)CC1
CHEMBL4445555,34.0,7.47,271,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(-c3cc4n(n3)CCC(=O)N4)c(C)cc2n1
CHEMBL4445660,26.0,7.59,489,CC(=O)N1CC2(C1)CC(O)(c1cc(C)c3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c1)C2
CHEMBL4446100,34.0,7.47,392,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[C@H](O)CC4)cc23)c1
CHEMBL4446624,23.0,7.64,453,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1-c1ccc(C(=O)N(C)C)nc1
CHEMBL4447334,7.0,8.15,631,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(O[C@H]3CCOC3)c(C)cc2n1
CHEMBL4448274,34.0,7.47,302,COCC(=O)N1CCC(c2cc3c(N[C@H](C)c4cccc(C)c4)nc(C)nc3cc2C)CC1
CHEMBL4448891,4.0,8.4,403,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3C)c2cc1O[C@H]1CCOC1
CHEMBL4449118,3.0,8.52,636,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(C3CCS(=O)(=O)CC3)c(C)cc2n1
CHEMBL4449483,4.0,8.4,620,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(C3CCS(=O)(=O)CC3)c(F)cc2n1
CHEMBL4449723,27.0,7.57,683,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3=CCC(C(=O)N4CCN(C)CC4)CC3)ccc2n1
CHEMBL4449786,2.0,8.7,159,COCC(=O)N1CC=C(c2cc3c(N[C@H](C)c4cccc(C(F)(F)CO)c4)nc(C)nc3cc2OC)CC1
CHEMBL4449876,6.0,8.22,83,CCn1cc(-c2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3cc2C)ccc1=O
CHEMBL4449932,37.0,7.43,274,CNC(=O)Cn1cc(-c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)ccc1=O
CHEMBL4449981,2.0,8.7,213,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1
CHEMBL4450467,18.0,7.74,408,Cc1cccc([C@@H](C)Nc2nc(C)nc3c(C)cc(C4CCN(C(C)C)CC4)cc23)c1
